ch_authorAccountId,COUNT(ch_id)
1000001,1
1000002,192
1000003,295
1000005,141
1000006,86
1000011,13
1000013,977
1000016,17
1000017,32
1000020,233
1000021,376
1000022,1205
1000023,894
1000024,18
1000025,23
1000026,157
1000027,121
1000028,450
1000030,383
1000031,680
1000032,90
1000033,45
1000034,394
1000035,167
1000037,412
1000038,3
1000039,76
1000041,51
1000042,43
1000043,669
1000044,14
1000045,519
1000047,6
1000053,49
1000054,27
1000055,1
1000057,147
1000058,67
1000059,251
1000060,4
1000062,258
1000064,1
1000065,68
1000067,11
1000068,165
1000069,2
1000071,2
1000072,17
1000078,15
1000079,1
1000082,26
1000083,1498
1000084,407
1000085,5
1000091,11
1000092,42
1000094,157
1000095,2
1000096,22
1000097,8
1000098,42
1000099,13
1000101,32
1000102,3
1000103,49
1000105,12
1000107,30
1000108,8
1000110,3
1000112,3
1000113,1
1000119,184
1000120,154
1000123,2
1000125,30
1000126,2
1000130,6
1000132,44
1000133,8
1000134,1
1000135,2053
1000138,123
1000143,4
1000146,1
1000148,136
1000151,3
1000153,1
1000154,234
1000158,5
1000161,222
1000164,1
1000165,7
1000166,314
1000169,152
1000170,7
1000171,1
1000172,52
1000174,4
1000176,36
1000177,12
1000178,27
1000179,219
1000181,8
1000182,177
1000183,6
1000185,11
1000186,183
1000193,13
1000194,3
1000195,65
1000196,1
1000202,4
1000203,19
1000204,1
1000208,8
1000210,44
1000211,2
1000214,131
1000215,1
1000216,7
1000218,49
1000221,1
1000223,193
1000227,33
1000228,5
1000229,8
1000231,17
1000233,182
1000234,22
1000235,10
1000237,27
1000242,3
1000243,13
1000245,10
1000247,78
1000251,5
1000254,10
1000257,6
1000266,29
1000267,13
1000270,116
1000274,41
1000275,32
1000278,1
1000281,1
1000282,14
1000287,4
1000288,1
1000290,1
1000292,77
1000295,471
1000299,1
1000301,2
1000302,1
1000304,37
1000305,2
1000306,6
1000308,7
1000309,1
1000311,11
1000312,1
1000313,1
1000314,5
1000317,33
1000318,7
1000321,158
1000327,3
1000328,2
1000330,1
1000331,3
1000334,11
1000341,3
